experiment,learning_rate,run_id,seed,n_steps,attack_prob,lr_schedule,final_budget,avg_efficiency,second_half_efficiency,survival,overheating_steps
LR_Comparison,0.02,8,50,2000,0.02,constant,4285.780517057865,4.6408432803526525,1.4770767798721791,True,0
LR_Comparison,0.02,9,51,2000,0.02,constant,-4695.824178349227,0.11730075978860259,0.07088094752281904,False,0
LR_Comparison,0.05,0,42,2000,0.02,constant,20255.13832759857,12.62615767788887,13.566602990627288,True,0
LR_Comparison,0.05,1,43,2000,0.02,constant,8736.73545758333,6.868298285532743,4.539659101583063,True,0
LR_Comparison,0.05,2,44,2000,0.02,constant,3358.3150373157114,4.177266979355365,3.5884678120687603,True,0
LR_Comparison,0.05,3,45,2000,0.02,constant,-3776.7687099200593,3.4034048276668747,0.06687882906198502,False,176
LR_Comparison,0.05,4,46,2000,0.02,constant,13455.734419822693,9.230935247898103,7.449674451351166,True,0
LR_Comparison,0.05,5,47,2000,0.02,constant,-4364.88093669184,2.1910000819929163,0.06782445683330297,False,222
LR_Comparison,0.05,6,48,2000,0.02,constant,12116.192565083504,8.556653786718845,8.309401550650596,True,0
LR_Comparison,0.05,7,49,2000,0.02,constant,11570.755306614376,8.704405968747079,10.32607006288129,True,85
LR_Comparison,0.05,8,50,2000,0.02,constant,4113.634227560717,4.554377512685955,1.4761375810056925,True,0
LR_Comparison,0.05,9,51,2000,0.02,constant,23847.66084466747,15.057091279858922,16.872234051932047,True,93
